 +, -, /, *
 Billy Ray Cyrus, Ray Cyrus, Billy Cyrus, Lucas Cyrus
 Harry Styles, Zayn Malik, Louis Tomilson, Niall Horan
 2011, 2013, 2012, 2014
 Beyonce, Rihanna, Katy Perry, Pink
 To the yard, To the house, To the park, To the club
 Lewis Capaldi, Billie Eilish, Stormzy, Celeste
 Rocketman, Elton John, Greatest, Elton
 Post malone, Drake, Beyonce, Travis Scott
 Adele, Christina Aguilera, Shakira, Beyonce
 Candy Shop, Liquor Shop, Corner Shop, Apple Shop
 Thomas Yorke, Ed O'brien, Johnny Greenwood, Colin Greenwood
 Mick Jagger, Keith Richards, Ronnie Jagger, Mick Taylor
 A Star is Born, Greatest of all time, Shallow, My life 
 Drake, Eminem, Kanye West, Lil Wayne
 Tina Turner, Anne Marie, Taylor Swift, Sandra Bullock
 Gangnam Style, Gannam Style, Daegu Style, Seoul Style
 Beats, Tidal, Bose, JBL 
 Justin Bieber, Ariana Grande, Selena Gomez, Drake
 MC Hammer, Dr.Dre, Snoop Dogg, Nas
 Celine Dion, Adele, Pink, Luv
 Kanye West, Travis Scott, Drake, Jay-z
 Empty Orchestra, Without music, Instrumental only, Half acapella
 Survivor, Katy Perry, Pink, Beyonce
 Is this real life?, What is this?, Am I bohemian?, Is this love?
 Carl Douglas, Yellow Man, Beenie Man, Bounty Killa
 Ariana Granda, Beyonce, Nicki Minaj, Cardi-B
 Please Please Me, Help Help Me, Please Help Me, Reverse
 Shania Twain, Drake, Jessie Reyez, Shakira
 Oil Refinery, clarks Factory, Barbershop, Belt store
 Robbie Williams, Gary Barlow, Mark Owen, Jason Orange
 Jones, Smith, Brown, Karlow
 Dead or Alive, Timbaland, Red eyes, Prince
 George Harrison, Paul McCartney, John Lennon, Ringo Star
 Crowded House, Haunted House, Abondoned House, Lonely House
 Live and Let Die, No Time To Die, Spectre, Golden Eye
 Lady Marmalade, Lady Jam, Old School, Just Right
 OutKast, The Duo, The Freaks, The Rejcts
 Ireland, UK, France, Spain
 The Rembrandts, The Gogh, Rennaisance, The Davinci's
 Denim, Silk, Paper, Plastic
 When Doves Cry, When Doves Fly, When Doves Die, When Doves Lie
 Sexy, Tired, In Love, Bored
 Mandy, Stacey, Britney, Mariah
 Baby One More Time, Oops!...I Did It Again, Toxic, 3
 My Name is, Not Afraid, Superman, Without Me
 The Lion King, Cinderella, Princess and the Frog, Aladdin 
 Mark Chapman, Louis Stevens, Mark Twain, John Stills
 1978, 1975, 1988, 1985
 1976, 1978, 1979, 1977
 Touch, Sight, Mind, Line
